id,name,description,power
1,Captain Sidequest,"Constantly abandons the main mission to help with trivial problems like lost cats or broken vending machines.",3
2,The Incredible Mildman,"Has slightly above-average strength, stamina, and confidence, but only on Tuesdays.",4
3,Doctor Delay,"Can stop time for everyone except himself, yet always uses it to procrastinate.",7
4,Lady Loophole,"Her powers activate only through overly specific technicalities in villain contracts or ancient prophecies.",6
5,Professor Squeak,"Communicates fluently with mice, who are surprisingly unionized and hard to negotiate with.",5
6,The Human Pop-Up Ad,"Appears at the worst possible moment to promote something irrelevant, distracting heroes and villains alike.",2
7,Sir Overreacts-a-Lot,"Turns minor inconveniences into city-wide emergencies through sheer dramatic flair.",6
8,Madam Stopwatch,"Can perfectly predict how long anything will take, but no one ever believes her.",4
9,Thunder Nap,"Gains godlike power after sleeping for exactly 14 hours, then immediately needs another nap.",8
10,The Beige Shadow,"Masters the art of being so boring and unremarkable that enemies completely forget he exists.",9
